"context_name","dominio","issn","record_count_2023","record_count_2022","record_count_2021","record_count_2020","total_historico"
"Boletín Jurídico del Observatorio de Libertad Religiosa de América Latina y El Caribe","revistadelaconstruccion.uc.cl","2452-5561",2681,983,0,15,4475
"Apuntes de Teatro","revistaapuntes.uc.cl","0716-4440;2810-6830",1018,22,19,16,1452
"Sustainability, Agri, Food and Environmental Research-DESCONTINUADA","safer.uct.cl","0719-3726",702,0,0,0,719
"Comunicaciones: una revista de geología andina","revistasdex.uchile.cl","Sin ISSN",347,4,0,0,351
"Boletín de la Universidad de Chile","revistasdex.uchile.cl","Sin ISSN",160,242,0,0,2091
"Diversity Research: Journal of Analysis and Trends","academiaone.org","2810-6393",153,0,0,0,240
"English Studies in Latin America: A Journal of Cultural and Literary Criticism","esla.letras.uc.cl","0719-9139",119,11,10,15,231
"Estudios Pedagógicos","revistas.uach.cl","0716-050X;0718-0705",113,84,65,69,1172
"MGC / Revista de Gestión Cultural","revistasdex.uchile.cl","Sin ISSN",112,0,0,0,442
"Chilean Journal of Agricultural & Animal Sciences","revistas.udec.cl","0719-3890",105,35,32,32,385
"Revista Perspectivas Educacionales (REPED)","revistas.umce.cl","0718-5030;2810-6962",103,60,0,0,163
"Proyecciones. Revista de Matemática","www.revistaproyecciones.cl","0717-6279",91,85,83,100,1251
"Open Academia: Journal of Scholarly Research","academiaone.org","2810-6377",88,0,0,0,163
"Horizonte de Enfermería","horizonteenfermeria.uc.cl","0719-6946",83,9,28,73,603
"Anales de Literatura Chilena","analesliteraturachilena.letras.uc.cl","0717-6058",82,259,79,20,956
"Estudios Públicos","www.estudiospublicos.cl","0716-1115;0718-3089",75,44,49,27,2145
"Onomázein","analesliteraturachilena.letras.uc.cl","0718-5758",74,81,54,78,1081
"CUADERNOS DE ARTE","cuadernosdearte.uc.cl","0717-2672",74,0,0,0,74
"Anales de la Universidad de Chile","anales.uchile.cl","0365-7779;0717-8883",73,26,30,28,7784
"Cuadernos Médico Sociales","cuadernosms.cl","0716-1336;2735-7759",72,99,39,59,2039
"Revista AIDIS de ingeniería y ciencias ambientales: Investigación, desarrollo y práctica","www.revistas.unam.mx","0718-378X",69,104,101,81,897
"Revista Peruana de Derecho Internacional","spdiojs.org","0035-0370;2663-0222",69,48,55,53,369
"BOSQUE","revistas.uach.cl","0304-8799;0717-9200",68,18,33,36,1259
"Revista Chilena de Educación Científica","revistas.umce.cl","0717-9618;2810-6040",68,9,0,0,115
"Revista Chilena de Literatura","revistaliteratura.uchile.cl","0048-7651;0718-2295",67,73,86,58,1871
"REXE- Revista de Estudios y Experiencias en Educación","revistas.ucsc.cl","0718-5162",66,78,53,6,686
"Literatura y Lingüística","ediciones.ucsh.cl","0716-5811;0717-621X",63,45,24,43,588
"Boletín de Filología","boletinfilologia.uchile.cl","0067-9674;0718-9303",62,18,38,50,1184
"Revista de otorrinolaringología y cirugía de cabeza y cuello","revistaotorrino-sochiorl.cl","0718-4816",56,175,0,0,994
"Revista Chilena de Reumatología","revistareumatologia.cl","2810-6032",56,12,0,0,88
"Progress Annals: Journal of Progressive Research","academiaone.org","2810-6466",53,0,0,0,174
"Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas","blacpma.ms-editions.cl","0717-7917",52,55,64,52,439
"Cuadernos.info","cuadernos.info","0719-367X",52,37,74,73,822
"Maderas-Cienc Tecnol","revistas.ubiobio.cl","0717-3644;0718-221X",51,48,75,59,875
"Autoctonía. Revista de Ciencias Sociales e Historia","www.autoctonia.cl","0719-8213",51,43,33,23,275
"Revista Confluencia","revistas.udd.cl","2735-6027",51,53,52,84,266
"Historia","revistahistoria.uc.cl","0717-7194",51,46,20,26,911
"Revista de Historia","revistas.udec.cl","0716-9108;0717-8832",49,49,135,29,524
"Revista Temas Sociológicos","ediciones.ucsh.cl","0719-644X;0719-6458",49,36,20,44,362
"Revista Inclusiones","revistainclusiones.org","0719-4706",47,125,636,849,2671
"Revista de Filosofía UCSC","revistas.ucsc.cl","0717-7801;2735-6353",47,17,11,8,123
"RAN - Revista Academia & Negocios","revistas.udec.cl","0719-6245;0719-7713",46,21,8,62,171
"Open Herald: Periodical of Methodical Research","academiaone.org","2810-6385",46,0,0,0,149
"Observatorio Económico","www.observatorioeconomico.cl","0719-9597",42,47,36,44,554
"Revista de la Construcción. Journal of Construction","revistadelaconstruccion.uc.cl","0718-915X",42,52,43,56,459
"Revista Chilena de Salud Pública","revistasaludpublica.uchile.cl","0717-3652;0719-5281",41,28,35,37,699
"Intus - Legere Historia","intushistoria.uai.cl","0718-5456;0719-8949",41,37,23,37,396
"Psykhe","ojs.uc.cl","0718-2228",41,33,44,16,872
"REVISTA CUHSO","cuhso.uct.cl","2452-610X",40,214,89,0,910
"Wire Insights: Journal of Innovation Insights","academiaone.org","2810-6458",40,0,0,0,69
"Acta Bioethica","actabioethica.uchile.cl","0717-5906;1726-569X",39,40,39,35,859
"Historia 396","historia396.cl","Sin ISSN",39,38,30,29,315
"Cuadernos de Historia","cuadernosdehistoria.uchile.cl","0716-1832;0719-1243",39,40,44,37,713
"Neumología Pediátrica","www.neumologia-pediatrica.cl","0718-333X",39,41,172,48,372
"Universum (Talca. En línea)","universum.utalca.cl","0716-498X;0718-2376",39,39,67,25,193
"Revista nuestrAmérica","nuestramerica.cl","0719-3092",39,54,77,21,327
"Atenea","revistas.udec.cl","0716-1840;0718-0462",38,18,48,45,6272
"Ciencia y Enfermería","revistas.udec.cl","0717-9553",38,40,50,25,751
"Lenguas Modernas","lenguasmodernas.uchile.cl","0716-0542;0719-5443",38,8,28,18,664
"Revista Chilena de Enfermedades Respiratorias","revchilenfermrespir.cl","0716-2065;0717-7348",38,35,42,48,791
"Sur y Tiempo: Revista de Historia de América","revistas.uv.cl","2452-574X",38,6,16,20,104
"Taller de Letras","tallerdeletras.letras.uc.cl","2735-6825",38,35,32,65,432
"Journal of Technology Management & Innovation","www.jotmi.org","0718-2724",37,36,45,28,960
"Revista Avante de Ciencias Sociales y Humanidades","revista-avante.com","0719-9740",37,30,6,6,80
"Espacio Regional. Revista de Estudios Sociales","revistas.ulagos.cl","0718-1604;2735-6175",37,0,144,24,237
"Revista Chilena de Derecho","revistachilenadederecho.uc.cl","0716-0747",37,37,65,95,2032
"Revista Musical Chilena","revistamusicalchilena.uchile.cl","0716-2790;0717-6252",36,39,44,40,4541
"Chungara Revista de Antropología Chilena","www.chungara.cl","0717-7356",36,42,58,7,162
"Meridional. Revista Chilena de Estudios Latinoamericanos","revistas.uchile.cl","0719-3734;0719-4862",35,25,36,31,323
"Revista INVI","revistainvi.uchile.cl","0718-1299;0718-8358",35,35,39,24,789
"Teatro","revistateatro.uchile.cl","0719-6482;0719-6490",35,32,0,0,127
"Teología y Vida","teologiayvida.uc.cl","0049-3449;0717-6295",35,32,28,46,465
"Revista Ingeniería de Construcción","revistaingenieriaconstruccion.uc.cl","0718-5073",35,34,29,47,675
"ARS MEDICA Revista de Ciencias Médicas","www.arsmedica.cl","0718-1051;0719-1855",34,55,53,46,1574
"Revista de Derecho (Valdivia)","revistaderechovaldivia.cl","0716-9132;0718-0950",34,39,38,39,954
"Journal of Latin American Studies on Disaster Risk Reduction REDER","www.revistareder.com","0719-8477",33,22,22,20,167
"Revista de Humanidades de Valparaíso","revistas.uv.cl","0719-4234;0719-4242",33,51,29,4,264
"Revista de Derecho Administrativo","redae.uc.cl","0717-4888;0719-5591",33,27,31,154,584
"Revista Chilena de Derecho y Tecnología","rchdt.uchile.cl","0719-2576;0719-2584",32,15,27,21,215
"Estudios Avanzados","www.revistas.usach.cl","0718-5014",32,9,18,12,336
"Boletín de la Sociedad Chilena de Arqueología","boletin.scha.cl","0716-5730;2735-7651",32,42,59,7,731
"Revista Hospital Clínico Universidad de Chile","revistahospitalclinico.uchile.cl","0716-7849;2735-7996",32,25,30,25,511
"Polis (Santiago)","revistas.ulagos.cl","0717-6554;0718-6568",32,33,37,43,1248
"Biologia Pesquera","revistas.ucsc.cl","0067-8767",32,0,0,0,157
"Revueltas. Revista chilena de Historia Social Popular","revistarevueltas.cl","2452-5707",31,20,19,15,100
"Revista de Historia Social y de las Mentalidades","www.revistas.usach.cl","0719-4749",31,22,21,15,481
"Revista de Filosofía","revistafilosofia.uchile.cl","0034-8236;0718-4360",31,17,28,25,1155
"Revista de humanidades (Santiago. En línea)","revistahumanidades.unab.cl","0717-0491;2452-445X",31,46,13,32,511
"Revista de Ciencias Sociales","revistas.uv.cl","0716-7725;0719-8442",30,9,19,22,210
"CUBO, A Mathematical Journal","cubo.ufro.cl","0716-7776;0719-0646",30,30,30,30,799
"Comunicación y Medios","comunicacionymedios.uchile.cl","0716-3991;0719-1529",29,30,41,32,756
"Revista Punto Género","revistapuntogenero.uchile.cl","0719-0417;2735-7473",29,23,32,14,225
"Revista Pedagogía Universitaria y Didáctica del Derecho","pedagogiaderecho.uchile.cl","0719-5885",29,29,32,28,234
"Revista Bits de Ciencia","revistasdex.uchile.cl","Sin ISSN",29,0,280,0,309
"Palabra y Razón","revistapyr.ucm.cl","0719-2223;2452-4646",29,18,8,14,166
"Revista Jurídica Digital UANDES","rjd.uandes.cl","0719-7942",28,18,24,15,152
"Revista de Estudiantes de Terapia Ocupacional","www.reto.ubo.cl","0719-8264",28,6,24,14,127
"Revista de Estudios Tributarios","revistaestudiostributarios.uchile.cl","0718-9478;0719-7527",28,19,27,10,338
"Ergonomía, Investigación y Desarrollo","revistas.udec.cl","2452-4859",27,33,35,33,177
"Estudios Filológicos","revistas.uach.cl","0071-1713;0717-6171",27,27,32,40,660
"Revista Austral de Ciencias Sociales","revistas.uach.cl","0717-3202;0718-1795",27,33,26,31,554
"Estado, Gobierno y Gestión Pública","revistaeggp.uchile.cl","0717-6759;0717-8980",26,6,21,12,212
"Austral Journal of Veterinary Sciences","www.ajvs.cl","0719-8000;0719-8132",26,21,126,3,195
"Revista Perspectivas: Notas sobre intervención y acción social","ediciones.ucsh.cl","0717-1714",26,16,36,19,385
"HYBRIS, Revista de Filosofí­a","coloquio2019.cenaltes.cl","0718-8382",26,29,35,39,329
"Revista de Arquitectura","dearquitectura.uchile.cl","0716-8772;0719-5427",25,28,28,10,598
"Revista de Derecho Universidad de Concepción","revistas.udec.cl","0303-9986;0718-591X",25,23,31,24,179
"LÍMITE Revista Interdisciplinaria de Filosofía y Psicología","revistalimite.uta.cl","0718-1361;0718-5065",25,18,18,25,222
"Perfiles Económicos","revistas.uv.cl","0719-7586",25,5,26,11,126
"Pensamiento Educativo","pensamientoeducativo.uc.cl","0719-0409",25,24,24,30,746
"Limes: Revista de Estudios Clásicos","revistas.umce.cl","0716-5919",25,0,0,0,25
"Aporía · Revista Internacional de Investigaciones Filosóficas","revistadelaconstruccion.uc.cl","0718-9788;0719-9589",25,9,24,15,129
"Revista Actos","revistas.academia.cl","2452-4727",24,23,18,19,106
"Revista Chilena de Terapia Ocupacional","revistaterapiaocupacional.uchile.cl","0717-6767;0719-5346",24,30,32,34,471
"Revista de Sociología","revistadesociologia.uchile.cl","0716-632X;0719-529X",24,16,16,14,432
"Gayana","gayana.cl","0717-652X;0717-6538",24,12,14,20,135
"Revista de Estudios Históricos","revistasdex.uchile.cl","Sin ISSN",24,0,0,0,24
"Revista Reflexión e Investigación Educacional","revistas.ubiobio.cl","2452-4638",23,11,10,22,124
"Anuario de Derechos Humanos","anuariocdh.uchile.cl","0718-2058;0718-2279",23,28,34,46,445
"Propuestas Críticas en Trabajo Social-Critical Proposals in Social Work","revistapropuestascriticas.uchile.cl","2735-6620",23,27,28,0,90
"Revista Ciencias de la Actividad Física UCM","revistacaf.ucm.cl","0717-408X;0719-4013",23,32,21,16,313
"Revista de Biología Marina y Oceanografía","revistas.uv.cl","0717-3326;0718-1957",23,53,38,32,276
"Resonancias. Revista de Filosofía","resonancias.uchile.cl","0719-790X",22,10,23,26,136
"Última Década","ultimadecada.uchile.cl","0717-4691;0718-2236",22,23,27,399,557
"Revista Política y Estrategia","www.politicayestrategia.cl","0716-7415;0719-8027",22,17,14,7,236
"Márgenes. Espacio Arte y Sociedad","rhv.uv.cl","0718-4034;0719-4463",22,34,24,0,190
"Revista stultifera","revistas.uach.cl","0719-983X",22,24,19,20,137
"Editorial UdeC","libros.udec.cl","Sin ISSN",22,0,0,0,39
"Revista de Derecho Aplicado LLM UC","ojs.uc.cl","2452-4344",22,7,13,15,94
"Revista de Geografía Norte Grande","revistanortegrande.uc.cl","0379-8682;0718-3402",22,70,533,96,1098
"Revista Planeo","revistadelaconstruccion.uc.cl","0719-2932",22,0,5,0,39
"Revista Latinoamericana de Derecho y Religión","revistalatderechoyreligion.uc.cl","0719-7160",22,31,14,20,196
"Revista Gestión de las Personas y Tecnología","www.revistas.usach.cl","0718-5693",21,21,21,21,358
"Cuadernos Judaicos","cuadernosjudaicos.uchile.cl","0717-4357;0718-8749",21,12,17,29,340
"International Journal of Medical and Surgical Sciences","revistas.uautonoma.cl","0719-3904;0719-532X",21,27,48,44,396
"Revista Enfoques Educacionales","enfoqueseducacionales.uchile.cl","0717-3229;2735-7279",21,15,25,21,310
"MAD","revistamad.uchile.cl","0718-0527",21,5,11,17,358
"Amoxtli","revistas.uft.cl","0719-997X",21,6,7,13,76
"Diseña","www.revistadisena.uc.cl","0718-8447;2452-4298",21,19,18,19,176
"Revista Ethika+","revistaethika.uchile.cl","2452-6037",20,35,32,25,120
"Hábitat Sustentable","revistas.ubiobio.cl","0719-0700",20,20,17,20,219
"Revista Liminales. Escritos sobre Psicología y Sociedad","revistafacso.ucentral.cl","0718-4166;0719-7748",20,19,19,13,203
"Rumbos TS. Un espacio crítico para la reflexión en Ciencias Sociales","revistafacso.ucentral.cl","0718-4182;0719-7721",20,24,29,31,337
"Revista de derecho (Coquimbo)","revistaderecho.ucn.cl","0718-9753",20,24,22,24,743
"Revista Chilena de Fonoaudiología","revfono.uchile.cl","0717-4659;0719-4692",20,29,14,15,231
"Historia Agraria de América Latina","haal.cl","2452-5162",20,81,0,0,114
"Arboles y Rizomas","www.revistas.usach.cl","0719-9805",20,21,19,20,111
"Acta Literaria","revistas.udec.cl","0716-0909;0717-6848",20,20,17,40,451
"Revista de Urbanismo","revistaurbanismo.uchile.cl","0717-5051",20,22,23,21,466
"Revista Geográfica de Chile Terra Australis","www.revistaterraaustralis.cl","0378-8482;0719-9562",20,11,21,11,90
"Revista Historia y Patrimonio","rhp.uchile.cl","2810-6245",20,11,0,0,42
"Revista Científica Cuadernos de Investigación","cuadernosdeinvestigacion.unach.cl","2810-6210",20,0,0,0,35
